a0,b0,c0,d0,a0,e0,f0,g0
a1,b1,c1,d1,a1,e1,f1,g1
a1,b1,c1,d1,a1,e1,f1,g1
a2,b2,c2,d2,a2,e2,f2,g2
a3,b3,c3,d3,a4,e3,f3,g3
a5,b4,c4,d4,a5,e4,f4,g4
a6,b5,c5,d5,a6,e5,f5,g5
a7,b6,c6,d6,a7,e6,f6,g6
a8,b7,c7,d7,a8,e7,f7,g7
a9,b8,c8,d8,a9,e8,f8,g8
a9,b8,c8,d8,a9,e8,f8,g8
