# onset(ms)	end(ms)	label
8684	8731	L0T8684M3L0_
8731	8777	L0T8731M3L0_
8777	8824	L0T8777M3L0_
8824	8870	L0T8824M3L0_
8870	8916	L0T8870M3L0_
8916	8963	L0T8916M3L0_
8963	9009	L0T8963M3L0_
9009	9056	L0T9009M3L0_
9056	9102	L0T9056M3L0_
9102	9149	L0T9102M3L0_
9149	9195	L0T9149M3L0_
9195	9242	L0T9195M3L0_
9242	9288	L0T9242M3L0_
9288	9334	L0T9288M3L0_
9334	9381	L0T9334M3L0_
9381	9427	L0T9381M3L0_
9427	9474	L0T9427M3L0_
9474	9520	L0T9474M3L0_
9520	9567	L0T9520M3L0_
9567	9613	L0T9567M3L0_
9613	9660	L0T9613M5L0_L1T9613M0L1_
9660	9706	L0T9660M5L0_
9706	9752	L0T9706M5L0_
9752	9799	L0T9752M5L0_
9799	9845	L0T9799M5L0_
9845	9892	L0T9845M5L0_
9892	9938	L0T9892M5L0_
9938	9985	L0T9938M5L0_
9985	10031	L0T9985M5L0_
10031	10077	L0T10031M5L0_
10077	10124	L0T10077M5L0_
10124	10170	L0T10124M5L0_
10170	10217	L0T10170M5L0_
10217	10263	L0T10217M5L0_
10263	10310	L0T10263M5L0_
10310	10356	L0T10310M5L0_
10356	10403	L0T10356M5L0_
10403	10449	L0T10403M5L0_
10449	10495	L0T10449M5L0_
10495	10542	L0T10495M5L0_
10542	10588	L0T10542M5L0_
10588	10635	L0T10588M5L0_
10635	10681	L0T10635M5L0_
10681	10728	L0T10681M5L0_
10728	10774	L0T10728M5L0_
10774	10820	L0T10774M5L0_
10820	10867	L0T10820M5L0_
10867	10913	L0T10867M5L0_
10913	10960	L0T10913M5L0_
10960	11006	L0T10960M5L0_
11006	11053	L0T11006M5L0_
11053	11099	L0T11053M5L0_
11099	11146	L0T11099M5L0_
11146	11192	L0T11146M5L0_
11192	11238	L0T11192M5L0_
11238	11285	L0T11238M5L0_
11285	11331	L0T11285M5L0_
11331	11378	L0T11331M5L0_
11378	11424	L0T11378M5L0_
11424	11471	L0T11424M5L0_
11471	11517	L0T11471M5L0_
11517	11564	L0T11517M5L0_
11564	11610	L0T11564M5L0_
11610	11656	L0T11610M5L0_
11656	11703	L0T11656M5L0_
11703	11749	L0T11703M5L0_
11749	11796	L0T11749M5L0_
11796	11842	L0T11796M5L0_
11842	11889	L0T11842M5L0_
11889	11935	L0T11889M5L0_
11935	11981	L0T11935M5L0_
11981	12028	L0T11981M5L0_
12028	12074	L0T12028M6L0_L1T12028M3L1_
12074	12121	L0T12074M6L0_
12121	12167	L0T12121M6L0_
12167	12214	L0T12167M6L0_
12214	12260	L0T12214M6L0_
12260	12307	L0T12260M6L0_
12307	12353	L0T12307M6L0_
12353	12399	L0T12353M6L0_
12399	12446	L0T12399M6L0_
12446	12492	L0T12446M6L0_
12492	12539	L0T12492M6L0_
12539	12585	L0T12539M6L0_
12585	12632	L0T12585M6L0_
12632	12678	L0T12632M6L0_
12678	12725	L0T12678M6L0_
12725	12771	L0T12725M6L0_
12771	12817	L0T12771M6L0_
12817	12864	L0T12817M6L0_
12864	12910	L0T12864M6L0_
12910	12957	L0T12910M6L0_
12957	13003	L0T12957M6L0_
13003	13050	L0T13003M6L0_
13050	13096	L0T13050M6L0_
13096	13142	L0T13096M6L0_
13142	13189	L0T13142M6L0_
13189	13235	L0T13189M6L0_
13235	13282	L0T13235M6L0_
13282	13328	L0T13282M6L0_
13328	13375	L0T13328M6L0_
13375	13421	L0T13375M6L0_
13421	13468	L0T13421M6L0_
13468	13514	L0T13468M6L0_
13514	13560	L0T13514M6L0_
13560	13607	L0T13560M6L0_
13607	13653	L0T13607M6L0_
13653	13700	L0T13653M6L0_
13700	13746	L0T13700M6L0_
13746	13793	L0T13746M6L0_
13793	13839	L0T13793M6L0_
13839	13886	L0T13839M6L0_
13886	13932	L0T13886M6L0_
13932	13978	L0T13932M6L0_
13978	14025	L0T13978M6L0_
14025	14071	L0T14025M6L0_
14071	14118	L0T14071M6L0_
14118	14164	L0T14118M6L0_
14164	14211	L0T14164M6L0_
14211	14257	L0T14211M6L0_
14257	14303	L0T14257M6L0_
14303	14350	L0T14303M6L0_
14350	14396	L0T14350M6L0_
14396	14443	L0T14396M7L0_L1T14396M1L1_
14443	14489	L0T14443M8L0_
14489	14536	L0T14489M1L0_
14536	14582	L0T14536M1L0_
14582	14629	L0T14582M1L0_
14629	14675	L0T14629M1L0_
14675	14721	L0T14675M1L0_
14721	14768	L0T14721M1L0_
14768	14814	L0T14768M1L0_
14814	14861	L0T14814M1L0_
14861	14907	L0T14861M1L0_
14907	14954	L0T14907M1L0_
14954	15000	L0T14954M1L0_
15000	15047	L0T15000M1L0_
15047	15093	L0T15047M1L0_
15093	15139	L0T15093M1L0_
15139	15186	L0T15139M1L0_
15186	15232	L0T15186M1L0_
15232	15279	L0T15232M1L0_
15279	15325	L0T15279M1L0_
15325	15372	L0T15325M1L0_
15372	15418	L0T15372M1L0_
15418	15464	L0T15418M1L0_
15464	15511	L0T15464M1L0_
15511	15557	L0T15511M1L0_
15557	15604	L0T15557M1L0_
15604	15650	L0T15604M1L0_
15650	15697	L0T15650M1L0_
15697	15743	L0T15697M1L0_
15743	15790	L0T15743M1L0_
