# onset(ms)	end(ms)	label
34923	34969	L0T34923M13L0_L1T34923M6L1_
34969	35016	L0T34969M3L0_
35016	35062	L0T35016M28L0_L1T35016M6L1_
35062	35109	L0T35062M28L0_
35109	35155	L0T35109M13L0_L1T35109M6L1_
35155	35201	L0T35155M3L0_
35201	35248	L0T35201M28L0_L1T35201M6L1_
35248	35294	L0T35248M28L0_
35294	35341	L0T35294M28L0_
35341	35387	L0T35341M28L0_
35387	35434	L0T35387M28L0_
35434	35480	L0T35434M1L0_L1T35434M6L1_
35480	35527	L0T35480M15L0_
35527	35573	L0T35527M15L0_
35573	35619	L0T35573M15L0_
35619	35666	L0T35619M15L0_
35666	35712	L0T35666M15L0_
35712	35759	L0T35712M15L0_
35759	35805	L0T35759M15L0_
35805	35852	L0T35805M15L0_
35852	35898	L0T35852M15L0_
35898	35944	L0T35898M15L0_
35944	35991	L0T35944M15L0_
35991	36037	L0T35991M15L0_
36037	36084	L0T36037M15L0_
36084	36130	L0T36084M15L0_
36130	36177	L0T36130M15L0_
36177	36223	L0T36177M15L0_
36223	36270	L0T36223M15L0_
36270	36316	L0T36270M15L0_
36316	36362	L0T36316M41L0_L1T36316M6L1_
36362	36409	L0T36362M42L0_
36409	36455	L0T36409M41L0_L1T36409M6L1_
36455	36502	L0T36455M41L0_
36502	36548	L0T36502M41L0_
36548	36595	L0T36548M41L0_
36595	36641	L0T36595M41L0_
36641	36688	L0T36641M41L0_
36688	36734	L0T36688M41L0_
36734	36780	L0T36734M41L0_
36780	36827	L0T36780M43L0_L1T36780M5L1_L2T36780M1L2_
36827	36873	L0T36827M27L0_
36873	36920	L0T36873M21L0_L1T36873M2L1_
36920	36966	L0T36920M0L0_
36966	37013	L0T36966M0L0_
37013	37059	L0T37013M0L0_
37059	37105	L0T37059M0L0_
37105	37152	L0T37105M0L0_
37152	37198	L0T37152M0L0_
37198	37245	L0T37198M0L0_
37245	37291	L0T37245M28L0_L1T37245M6L1_
37291	37338	L0T37291M1L0_
37338	37384	L0T37338M28L0_L1T37338M6L1_
37384	37431	L0T37384M1L0_
37431	37477	L0T37431M28L0_L1T37431M6L1_
37477	37523	L0T37477M1L0_
37523	37570	L0T37523M28L0_L1T37523M6L1_
37570	37616	L0T37570M1L0_
37616	37663	L0T37616M28L0_L1T37616M6L1_
37663	37709	L0T37663M1L0_
37709	37756	L0T37709M28L0_L1T37709M6L1_
37756	37802	L0T37756M1L0_
37802	37849	L0T37802M44L0_L1T37802M4L1_L2T37802M1L2_
37849	37895	L0T37849M24L0_
37895	37941	L0T37895M44L0_L1T37895M4L1_
37941	37988	L0T37941M24L0_
37988	38034	L0T37988M32L0_L1T37988M4L1_
38034	38081	L0T38034M32L0_
38081	38127	L0T38081M32L0_
38127	38174	L0T38127M32L0_
38174	38220	L0T38174M32L0_
38220	38266	L0T38220M32L0_
38266	38313	L0T38266M32L0_
38313	38359	L0T38313M3L0_L1T38313M4L1_
38359	38406	L0T38359M37L0_
38406	38452	L0T38406M0L0_L1T38406M0L1_L2T38406M1L2_
38452	38499	L0T38452M0L0_
38499	38545	L0T38499M0L0_
38545	38592	L0T38545M0L0_
38592	38638	L0T38592M0L0_
38638	38684	L0T38638M0L0_
38684	38731	L0T38684M0L0_
38731	38777	L0T38731M10L0_L1T38731M0L1_
38777	38824	L0T38777M10L0_
38824	38870	L0T38824M10L0_
38870	38917	L0T38870M10L0_
38917	38963	L0T38917M10L0_
38963	39010	L0T38963M10L0_
39010	39056	L0T39010M10L0_
39056	39102	L0T39056M10L0_
39102	39149	L0T39102M10L0_
39149	39195	L0T39149M10L0_
39195	39242	L0T39195M3L0_L1T39195M5L1_L2T39195M1L2_
39242	39288	L0T39242M12L0_
39288	39335	L0T39288M12L0_
39335	39381	L0T39335M3L0_L1T39335M0L1_
39381	39427	L0T39381M3L0_
39427	39474	L0T39427M5L0_L1T39427M0L1_
39474	39520	L0T39474M10L0_
39520	39567	L0T39520M12L0_L1T39520M6L1_L2T39520M1L2_
39567	39613	L0T39567M0L0_
39613	39660	L0T39613M0L0_
39660	39706	L0T39660M28L0_L1T39660M6L1_
39706	39753	L0T39706M13L0_
39753	39799	L0T39753M3L0_
39799	39845	L0T39799M28L0_
39845	39892	L0T39845M28L0_
39892	39938	L0T39892M13L0_L1T39892M6L1_
39938	39985	L0T39938M3L0_
39985	40031	L0T39985M28L0_L1T39985M6L1_
40031	40078	L0T40031M28L0_
40078	40124	L0T40078M13L0_L1T40078M6L1_
40124	40171	L0T40124M3L0_
40171	40217	L0T40171M2L0_L1T40171M6L1_
40217	40263	L0T40217M3L0_
40263	40310	L0T40263M3L0_
40310	40356	L0T40310M3L0_
40356	40403	L0T40356M3L0_
40403	40449	L0T40403M3L0_
40449	40496	L0T40449M3L0_
40496	40542	L0T40496M3L0_
40542	40588	L0T40542M3L0_
40588	40635	L0T40588M3L0_
40635	40681	L0T40635M3L0_
40681	40728	L0T40681M3L0_
40728	40774	L0T40728M3L0_
40774	40821	L0T40774M3L0_
40821	40867	L0T40821M3L0_
40867	40914	L0T40867M3L0_
40914	40960	L0T40914M3L0_
40960	41006	L0T40960M3L0_
41006	41053	L0T41006M3L0_
41053	41099	L0T41053M3L0_
41099	41146	L0T41099M3L0_
41146	41192	L0T41146M20L0_L1T41146M6L1_
41192	41239	L0T41192M20L0_
41239	41285	L0T41239M20L0_
41285	41332	L0T41285M20L0_
41332	41378	L0T41332M20L0_
41378	41424	L0T41378M20L0_
41424	41471	L0T41424M20L0_
41471	41517	L0T41471M20L0_
41517	41564	L0T41517M20L0_
41564	41610	L0T41564M21L0_L1T41564M2L1_L2T41564M1L2_
41610	41657	L0T41610M21L0_
41657	41703	L0T41657M21L0_
41703	41749	L0T41703M21L0_
41749	41796	L0T41749M21L0_
41796	41842	L0T41796M21L0_
41842	41889	L0T41842M21L0_
41889	41935	L0T41889M21L0_
41935	41982	L0T41935M21L0_
41982	42028	L0T41982M21L0_
42028	42075	L0T42028M3L0_L1T42028M6L1_
42075	42121	L0T42075M22L0_
42121	42167	L0T42121M20L0_L1T42121M6L1_
42167	42214	L0T42167M20L0_
42214	42260	L0T42214M20L0_
42260	42307	L0T42260M20L0_
42307	42353	L0T42307M20L0_
42353	42400	L0T42353M20L0_
42400	42446	L0T42400M20L0_
42446	42493	L0T42446M20L0_
42493	42539	L0T42493M20L0_
42539	42585	L0T42539M20L0_
42585	42632	L0T42585M20L0_
42632	42678	L0T42632M3L0_L1T42632M2L1_L2T42632M1L2_
42678	42725	L0T42678M24L0_
42725	42771	L0T42725M24L0_
42771	42818	L0T42771M24L0_
42818	42864	L0T42818M24L0_
42864	42910	L0T42864M24L0_
42910	42957	L0T42910M24L0_
42957	43003	L0T42957M24L0_
43003	43050	L0T43003M24L0_
43050	43096	L0T43050M24L0_
43096	43143	L0T43096M24L0_
43143	43189	L0T43143M24L0_
43189	43236	L0T43189M3L0_L1T43189M0L1_
43236	43282	L0T43236M0L0_
43282	43328	L0T43282M1L0_L1T43282M0L1_
43328	43375	L0T43328M1L0_
43375	43421	L0T43375M2L0_L1T43375M7L1_L2T43375M1L2_
43421	43468	L0T43421M26L0_
43468	43514	L0T43468M27L0_L1T43468M7L1_
43514	43561	L0T43514M1L0_
43561	43607	L0T43561M1L0_
43607	43654	L0T43607M1L0_
43654	43700	L0T43654M1L0_
43700	43746	L0T43700M1L0_
43746	43793	L0T43746M1L0_
43793	43839	L0T43793M1L0_
43839	43886	L0T43839M1L0_
43886	43932	L0T43886M1L0_
43932	43979	L0T43932M1L0_
43979	44025	L0T43979M26L0_L1T43979M7L1_
44025	44071	L0T44025M27L0_
44071	44118	L0T44071M27L0_
44118	44164	L0T44118M27L0_
44164	44211	L0T44164M27L0_
44211	44257	L0T44211M27L0_
44257	44304	L0T44257M27L0_
44304	44350	L0T44304M27L0_
44350	44397	L0T44350M27L0_
44397	44443	L0T44397M27L0_
44443	44489	L0T44443M28L0_L1T44443M6L1_L2T44443M1L2_
44489	44536	L0T44489M28L0_
44536	44582	L0T44536M13L0_L1T44536M6L1_
44582	44629	L0T44582M3L0_
44629	44675	L0T44629M28L0_L1T44629M6L1_
44675	44722	L0T44675M28L0_
44722	44768	L0T44722M13L0_L1T44722M6L1_
44768	44815	L0T44768M3L0_
44815	44861	L0T44815M28L0_L1T44815M6L1_
44861	44907	L0T44861M28L0_
44907	44954	L0T44907M13L0_L1T44907M6L1_
44954	45000	L0T44954M3L0_
45000	45047	L0T45000M2L0_L1T45000M6L1_
45047	45093	L0T45047M14L0_
45093	45140	L0T45093M3L0_L1T45093M6L1_
45140	45186	L0T45140M28L0_
45186	45232	L0T45186M28L0_
45232	45279	L0T45232M13L0_L1T45232M6L1_
45279	45325	L0T45279M3L0_
45325	45372	L0T45325M28L0_L1T45325M6L1_
45372	45418	L0T45372M28L0_
45418	45465	L0T45418M13L0_L1T45418M6L1_
45465	45511	L0T45465M13L0_
45511	45558	L0T45511M3L0_L1T45511M12L1_L2T45511M1L2_
45558	45604	L0T45558M3L0_
45604	45650	L0T45604M3L0_
45650	45697	L0T45650M29L0_L1T45650M13L1_
45697	45743	L0T45697M29L0_
45743	45790	L0T45743M29L0_
45790	45836	L0T45790M29L0_
45836	45883	L0T45836M29L0_
45883	45929	L0T45883M29L0_
45929	45976	L0T45929M30L0_L1T45929M13L1_
45976	46022	L0T45976M30L0_
46022	46068	L0T46022M30L0_
46068	46115	L0T46068M30L0_
46115	46161	L0T46115M30L0_
46161	46208	L0T46161M30L0_
46208	46254	L0T46208M30L0_
46254	46301	L0T46254M30L0_
46301	46347	L0T46301M30L0_
46347	46393	L0T46347M31L0_L1T46347M0L1_L2T46347M1L2_
46393	46440	L0T46393M31L0_
46440	46486	L0T46440M31L0_
46486	46533	L0T46486M31L0_
46533	46579	L0T46533M31L0_
46579	46626	L0T46579M31L0_
46626	46672	L0T46626M31L0_
46672	46719	L0T46672M31L0_
46719	46765	L0T46719M31L0_
46765	46811	L0T46765M31L0_
46811	46858	L0T46811M30L0_L1T46811M6L1_
46858	46904	L0T46858M30L0_
46904	46951	L0T46904M30L0_
46951	46997	L0T46951M30L0_
46997	47044	L0T46997M30L0_
47044	47090	L0T47044M30L0_
47090	47137	L0T47090M30L0_
47137	47183	L0T47137M30L0_
47183	47229	L0T47183M30L0_
47229	47276	L0T47229M30L0_
47276	47322	L0T47276M30L0_
47322	47369	L0T47322M30L0_
47369	47415	L0T47369M30L0_
47415	47462	L0T47415M32L0_L1T47415M4L1_L2T47415M1L2_
47462	47508	L0T47462M32L0_
47508	47554	L0T47508M32L0_
47554	47601	L0T47554M32L0_
47601	47647	L0T47601M32L0_
47647	47694	L0T47647M32L0_
47694	47740	L0T47694M32L0_
47740	47787	L0T47740M32L0_
47787	47833	L0T47787M32L0_
47833	47880	L0T47833M32L0_
47880	47926	L0T47880M32L0_
47926	47972	L0T47926M32L0_
47972	48019	L0T47972M32L0_
48019	48065	L0T48019M0L0_L1T48019M0L1_
48065	48112	L0T48065M0L0_
48112	48158	L0T48112M0L0_
48158	48205	L0T48158M0L0_
48205	48251	L0T48205M0L0_
48251	48298	L0T48251M0L0_
48298	48344	L0T48298M0L0_
48344	48390	L0T48344M10L0_L1T48344M0L1_
48390	48437	L0T48390M10L0_
48437	48483	L0T48437M10L0_
48483	48530	L0T48483M10L0_
48530	48576	L0T48530M10L0_
48576	48623	L0T48576M10L0_
48623	48669	L0T48623M10L0_
48669	48715	L0T48669M10L0_
48715	48762	L0T48715M10L0_
48762	48808	L0T48762M3L0_L1T48762M5L1_L2T48762M1L2_
48808	48855	L0T48808M12L0_
48855	48901	L0T48855M12L0_
48901	48948	L0T48901M3L0_L1T48901M0L1_
48948	48994	L0T48948M3L0_
48994	49041	L0T48994M5L0_L1T48994M0L1_
49041	49087	L0T49041M10L0_
49087	49133	L0T49087M12L0_L1T49087M7L1_L2T49087M1L2_
49133	49180	L0T49133M0L0_
49180	49226	L0T49180M0L0_
49226	49273	L0T49226M28L0_L1T49226M6L1_
49273	49319	L0T49273M13L0_
49319	49366	L0T49319M3L0_
49366	49412	L0T49366M28L0_
49412	49459	L0T49412M28L0_
49459	49505	L0T49459M13L0_L1T49459M6L1_
49505	49551	L0T49505M3L0_
49551	49598	L0T49551M28L0_L1T49551M6L1_
49598	49644	L0T49598M28L0_
49644	49691	L0T49644M13L0_L1T49644M6L1_
49691	49737	L0T49691M3L0_
49737	49784	L0T49737M2L0_L1T49737M6L1_
49784	49830	L0T49784M14L0_
49830	49876	L0T49830M3L0_L1T49830M6L1_
49876	49923	L0T49876M28L0_
49923	49969	L0T49923M28L0_
49969	50016	L0T49969M13L0_L1T49969M6L1_
50016	50062	L0T50016M3L0_
50062	50109	L0T50062M28L0_L1T50062M6L1_
50109	50155	L0T50109M28L0_
50155	50202	L0T50155M13L0_L1T50155M6L1_
50202	50248	L0T50202M3L0_
50248	50294	L0T50248M3L0_
50294	50341	L0T50294M3L0_
50341	50387	L0T50341M3L0_
50387	50434	L0T50387M3L0_
50434	50480	L0T50434M3L0_
50480	50527	L0T50480M3L0_
50527	50573	L0T50527M3L0_
50573	50620	L0T50573M3L0_
50620	50666	L0T50620M3L0_
50666	50712	L0T50666M3L0_
50712	50759	L0T50712M13L0_L1T50712M6L1_
50759	50805	L0T50759M33L0_
50805	50852	L0T50805M33L0_
50852	50898	L0T50852M20L0_L1T50852M8L1_L2T50852M1L2_
50898	50945	L0T50898M33L0_
50945	50991	L0T50945M33L0_
50991	51037	L0T50991M20L0_L1T50991M8L1_
51037	51084	L0T51037M36L0_
51084	51130	L0T51084M36L0_
51130	51177	L0T51130M36L0_
51177	51223	L0T51177M3L0_L1T51177M14L1_L2T51177M5L2_L3T51177M1L3_
51223	51270	L0T51223M6L0_
51270	51316	L0T51270M35L0_
51316	51363	L0T51316M3L0_L1T51316M14L1_
51363	51409	L0T51363M13L0_
51409	51455	L0T51409M21L0_L1T51409M2L1_L2T51409M1L2_
51455	51502	L0T51455M21L0_
51502	51548	L0T51502M21L0_
51548	51595	L0T51548M21L0_
51595	51641	L0T51595M21L0_
51641	51688	L0T51641M36L0_L1T51641M0L1_
51688	51734	L0T51688M36L0_
51734	51780	L0T51734M36L0_
51780	51827	L0T51780M36L0_
51827	51873	L0T51827M36L0_
51873	51920	L0T51873M36L0_
51920	51966	L0T51920M36L0_
51966	52013	L0T51966M36L0_
52013	52059	L0T52013M36L0_
52059	52106	L0T52059M36L0_
52106	52152	L0T52106M36L0_
52152	52198	L0T52152M36L0_
52198	52245	L0T52198M36L0_
52245	52291	L0T52245M3L0_L1T52245M8L1_L2T52245M1L2_
52291	52338	L0T52291M24L0_
52338	52384	L0T52338M24L0_
52384	52431	L0T52384M24L0_
52431	52477	L0T52431M24L0_
52477	52524	L0T52477M24L0_
52524	52570	L0T52524M24L0_
52570	52616	L0T52570M24L0_
52616	52663	L0T52616M24L0_
52663	52709	L0T52663M24L0_
52709	52756	L0T52709M24L0_
52756	52802	L0T52756M24L0_
52802	52849	L0T52802M3L0_L1T52802M1L1_
52849	52895	L0T52849M0L0_
52895	52941	L0T52895M1L0_L1T52895M1L1_
52941	52988	L0T52941M1L0_
52988	53034	L0T52988M1L0_
53034	53081	L0T53034M1L0_
53081	53127	L0T53081M1L0_
53127	53174	L0T53127M1L0_
53174	53220	L0T53174M1L0_
53220	53267	L0T53220M1L0_
53267	53313	L0T53267M1L0_
53313	53359	L0T53313M1L0_
53359	53406	L0T53359M1L0_
53406	53452	L0T53406M45L0_L1T53406M2L1_L2T53406M1L2_
53452	53499	L0T53452M1L0_
53499	53545	L0T53499M1L0_
53545	53592	L0T53545M1L0_
53592	53638	L0T53592M26L0_L1T53592M0L1_
53638	53685	L0T53638M27L0_
53685	53731	L0T53685M27L0_
53731	53777	L0T53731M27L0_
53777	53824	L0T53777M27L0_
53824	53870	L0T53824M27L0_
53870	53917	L0T53870M27L0_
53917	53963	L0T53917M27L0_
53963	54010	L0T53963M27L0_
54010	54056	L0T54010M28L0_L1T54010M6L1_
54056	54102	L0T54056M28L0_
54102	54149	L0T54102M13L0_L1T54102M6L1_
54149	54195	L0T54149M3L0_
54195	54242	L0T54195M28L0_L1T54195M6L1_
54242	54288	L0T54242M28L0_
54288	54335	L0T54288M13L0_L1T54288M6L1_
54335	54381	L0T54335M3L0_
54381	54428	L0T54381M28L0_L1T54381M6L1_
54428	54474	L0T54428M28L0_
54474	54520	L0T54474M13L0_L1T54474M6L1_
54520	54567	L0T54520M3L0_
54567	54613	L0T54567M2L0_L1T54567M6L1_
54613	54660	L0T54613M14L0_
54660	54706	L0T54660M3L0_L1T54660M6L1_
54706	54753	L0T54706M28L0_
54753	54799	L0T54753M28L0_
54799	54846	L0T54799M13L0_L1T54799M6L1_
54846	54892	L0T54846M3L0_
54892	54938	L0T54892M28L0_L1T54892M6L1_
54938	54985	L0T54938M28L0_
54985	55031	L0T54985M13L0_L1T54985M6L1_
55031	55078	L0T55031M3L0_
55078	55124	L0T55078M3L0_
55124	55171	L0T55124M3L0_
55171	55217	L0T55171M3L0_
55217	55263	L0T55217M0L0_L1T55217M7L1_L2T55217M1L2_
55263	55310	L0T55263M46L0_
55310	55356	L0T55310M3L0_L1T55310M7L1_
55356	55403	L0T55356M0L0_
55403	55449	L0T55403M3L0_L1T55403M7L1_
55449	55496	L0T55449M0L0_
55496	55542	L0T55496M3L0_L1T55496M6L1_L2T55496M1L2_
55542	55589	L0T55542M23L0_
55589	55635	L0T55589M41L0_L1T55589M6L1_
55635	55681	L0T55635M41L0_
55681	55728	L0T55681M41L0_
55728	55774	L0T55728M41L0_
55774	55821	L0T55774M41L0_
55821	55867	L0T55821M41L0_
55867	55914	L0T55867M41L0_
55914	55960	L0T55914M41L0_
55960	56007	L0T55960M41L0_
56007	56053	L0T56007M3L0_L1T56007M7L1_L2T56007M1L2_
56053	56099	L0T56053M27L0_
56099	56146	L0T56099M21L0_L1T56099M7L1_
56146	56192	L0T56146M0L0_
56192	56239	L0T56192M0L0_
56239	56285	L0T56239M0L0_
56285	56332	L0T56285M0L0_
56332	56378	L0T56332M0L0_
56378	56424	L0T56378M0L0_
56424	56471	L0T56424M28L0_L1T56424M6L1_L2T56424M1L2_
56471	56517	L0T56471M1L0_
56517	56564	L0T56517M28L0_L1T56517M6L1_
56564	56610	L0T56564M1L0_
56610	56657	L0T56610M28L0_L1T56610M6L1_
56657	56703	L0T56657M1L0_
56703	56750	L0T56703M28L0_L1T56703M6L1_
56750	56796	L0T56750M1L0_
56796	56842	L0T56796M28L0_L1T56796M6L1_
56842	56889	L0T56842M1L0_
56889	56935	L0T56889M28L0_L1T56889M6L1_
56935	56982	L0T56935M1L0_
56982	57028	L0T56982M28L0_L1T56982M6L1_
57028	57075	L0T57028M32L0_
57075	57121	L0T57075M32L0_
57121	57168	L0T57121M32L0_
57168	57214	L0T57168M32L0_
57214	57260	L0T57214M32L0_
57260	57307	L0T57260M32L0_
57307	57353	L0T57307M32L0_
57353	57400	L0T57353M32L0_
57400	57446	L0T57400M32L0_
57446	57493	L0T57446M32L0_
57493	57539	L0T57493M32L0_
57539	57585	L0T57539M32L0_
57585	57632	L0T57585M32L0_
57632	57678	L0T57632M0L0_L1T57632M7L1_L2T57632M1L2_
57678	57725	L0T57678M0L0_
57725	57771	L0T57725M0L0_
57771	57818	L0T57771M0L0_
57818	57864	L0T57818M0L0_
57864	57911	L0T57864M0L0_
57911	57957	L0T57911M0L0_
57957	58003	L0T57957M10L0_L1T57957M7L1_
58003	58050	L0T58003M10L0_
58050	58096	L0T58050M10L0_
58096	58143	L0T58096M10L0_
58143	58189	L0T58143M10L0_
58189	58236	L0T58189M10L0_
58236	58282	L0T58236M10L0_
58282	58329	L0T58282M10L0_
58329	58375	L0T58329M10L0_
58375	58421	L0T58375M47L0_L1T58375M4L1_L2T58375M1L2_
58421	58468	L0T58421M47L0_
58468	58514	L0T58468M47L0_
58514	58561	L0T58514M47L0_
58561	58607	L0T58561M47L0_
58607	58654	L0T58607M47L0_
58654	58700	L0T58654M47L0_
58700	58746	L0T58700M47L0_
58746	58793	L0T58746M47L0_
58793	58839	L0T58793M47L0_
58839	58886	L0T58839M13L0_L1T58839M6L1_
58886	58932	L0T58886M28L0_
58932	58979	L0T58932M13L0_L1T58932M6L1_
58979	59025	L0T58979M3L0_
59025	59072	L0T59025M28L0_
59072	59118	L0T59072M28L0_
59118	59164	L0T59118M13L0_L1T59118M6L1_
59164	59211	L0T59164M3L0_
59211	59257	L0T59211M28L0_L1T59211M6L1_
59257	59304	L0T59257M28L0_
59304	59350	L0T59304M13L0_L1T59304M6L1_
59350	59397	L0T59350M3L0_
59397	59443	L0T59397M2L0_L1T59397M6L1_
59443	59490	L0T59443M14L0_
59490	59536	L0T59490M3L0_L1T59490M6L1_
59536	59582	L0T59536M28L0_
59582	59629	L0T59582M28L0_
59629	59675	L0T59629M13L0_L1T59629M6L1_
59675	59722	L0T59675M3L0_
59722	59768	L0T59722M28L0_L1T59722M6L1_
59768	59815	L0T59768M28L0_
59815	59861	L0T59815M13L0_L1T59815M6L1_
59861	59907	L0T59861M13L0_
59907	59954	L0T59907M3L0_L1T59907M6L1_
59954	60000	L0T59954M3L0_
60000	60047	L0T60000M3L0_
60047	60093	L0T60047M3L0_
60093	60140	L0T60093M3L0_
60140	60186	L0T60140M3L0_
60186	60233	L0T60186M3L0_
60233	60279	L0T60233M3L0_
60279	60325	L0T60279M3L0_
60325	60372	L0T60325M33L0_L1T60325M6L1_
60372	60418	L0T60372M20L0_
60418	60465	L0T60418M20L0_
60465	60511	L0T60465M20L0_
60511	60558	L0T60511M20L0_
60558	60604	L0T60558M20L0_
60604	60651	L0T60604M20L0_
60651	60697	L0T60651M3L0_L1T60651M7L1_L2T60651M1L2_
60697	60743	L0T60697M13L0_
60743	60790	L0T60743M0L0_L1T60743M7L1_
60790	60836	L0T60790M21L0_
60836	60883	L0T60836M21L0_
60883	60929	L0T60883M21L0_
60929	60976	L0T60929M21L0_
60976	61022	L0T60976M21L0_
61022	61068	L0T61022M21L0_
61068	61115	L0T61068M48L0_L1T61068M15L1_L2T61068M1L2_
61115	61161	L0T61115M48L0_
61161	61208	L0T61161M48L0_
61208	61254	L0T61208M3L0_L1T61208M0L1_
61254	61301	L0T61254M20L0_
61301	61347	L0T61301M20L0_
61347	61394	L0T61347M20L0_
61394	61440	L0T61394M20L0_
61440	61486	L0T61440M20L0_
61486	61533	L0T61486M20L0_
61533	61579	L0T61533M20L0_
61579	61626	L0T61579M20L0_
61626	61672	L0T61626M20L0_
61672	61719	L0T61672M20L0_
61719	61765	L0T61719M20L0_
61765	61812	L0T61765M20L0_
61812	61858	L0T61812M24L0_L1T61812M0L1_
61858	61904	L0T61858M23L0_
61904	61951	L0T61904M24L0_
61951	61997	L0T61951M24L0_
61997	62044	L0T61997M24L0_
62044	62090	L0T62044M24L0_
62090	62137	L0T62090M24L0_
62137	62183	L0T62137M24L0_
62183	62229	L0T62183M24L0_
62229	62276	L0T62229M24L0_
62276	62322	L0T62276M24L0_
62322	62369	L0T62322M24L0_
62369	62415	L0T62369M24L0_
62415	62462	L0T62415M25L0_L1T62415M7L1_L2T62415M1L2_
62462	62508	L0T62462M25L0_
62508	62555	L0T62508M2L0_L1T62508M7L1_
62555	62601	L0T62555M2L0_
62601	62647	L0T62601M2L0_
62647	62694	L0T62647M2L0_
62694	62740	L0T62694M2L0_
62740	62787	L0T62740M26L0_L1T62740M7L1_
62787	62833	L0T62787M26L0_
62833	62880	L0T62833M26L0_
62880	62926	L0T62880M26L0_
62926	62973	L0T62926M26L0_
62973	63019	L0T62973M26L0_
63019	63065	L0T63019M26L0_
63065	63112	L0T63065M26L0_
63112	63158	L0T63112M26L0_
63158	63205	L0T63158M26L0_
63205	63251	L0T63205M49L0_L1T63205M4L1_L2T63205M1L2_
63251	63298	L0T63251M49L0_
63298	63344	L0T63298M49L0_
63344	63390	L0T63344M49L0_
63390	63437	L0T63390M49L0_
63437	63483	L0T63437M49L0_
63483	63530	L0T63483M49L0_
63530	63576	L0T63530M49L0_
63576	63623	L0T63576M49L0_
63623	63669	L0T63623M28L0_L1T63623M6L1_
63669	63716	L0T63669M28L0_
63716	63762	L0T63716M13L0_L1T63716M6L1_
63762	63808	L0T63762M3L0_
63808	63855	L0T63808M28L0_L1T63808M6L1_
63855	63901	L0T63855M28L0_
63901	63948	L0T63901M13L0_L1T63901M6L1_
63948	63994	L0T63948M3L0_
63994	64041	L0T63994M28L0_L1T63994M6L1_
64041	64087	L0T64041M28L0_
64087	64134	L0T64087M13L0_L1T64087M6L1_
64134	64180	L0T64134M3L0_
64180	64226	L0T64180M2L0_L1T64180M6L1_
64226	64273	L0T64226M14L0_
64273	64319	L0T64273M3L0_L1T64273M6L1_
64319	64366	L0T64319M28L0_
64366	64412	L0T64366M28L0_
64412	64459	L0T64412M13L0_L1T64412M6L1_
64459	64505	L0T64459M3L0_
64505	64551	L0T64505M28L0_L1T64505M6L1_
64551	64598	L0T64551M28L0_
64598	64644	L0T64598M13L0_L1T64598M6L1_
64644	64691	L0T64644M3L0_
64691	64737	L0T64691M3L0_
64737	64784	L0T64737M3L0_
64784	64830	L0T64784M3L0_
64830	64877	L0T64830M29L0_L1T64830M2L1_L2T64830M1L2_
64877	64923	L0T64877M29L0_
64923	64969	L0T64923M29L0_
64969	65016	L0T64969M29L0_
65016	65062	L0T65016M29L0_
65062	65109	L0T65062M29L0_
65109	65155	L0T65109M31L0_L1T65109M13L1_
65155	65202	L0T65155M50L0_
65202	65248	L0T65202M30L0_L1T65202M13L1_
65248	65295	L0T65248M51L0_
65295	65341	L0T65295M51L0_
65341	65387	L0T65341M51L0_
65387	65434	L0T65387M51L0_
65434	65480	L0T65434M51L0_
65480	65527	L0T65480M51L0_
65527	65573	L0T65527M51L0_
65573	65620	L0T65573M52L0_L1T65573M0L1_L2T65573M1L2_
65620	65666	L0T65620M52L0_
65666	65712	L0T65666M52L0_
65712	65759	L0T65712M52L0_
65759	65805	L0T65759M52L0_
65805	65852	L0T65805M52L0_
65852	65898	L0T65852M52L0_
65898	65945	L0T65898M52L0_
65945	65991	L0T65945M52L0_
65991	66038	L0T65991M52L0_
66038	66084	L0T66038M53L0_L1T66038M6L1_
66084	66130	L0T66084M53L0_
66130	66177	L0T66130M53L0_
66177	66223	L0T66177M53L0_
66223	66270	L0T66223M53L0_
66270	66316	L0T66270M53L0_
66316	66363	L0T66316M53L0_
66363	66409	L0T66363M53L0_
66409	66456	L0T66409M53L0_
66456	66502	L0T66456M53L0_
66502	66548	L0T66502M53L0_
66548	66595	L0T66548M53L0_
66595	66641	L0T66595M53L0_
66641	66688	L0T66641M24L0_L1T66641M9L1_
66688	66734	L0T66688M31L0_
66734	66781	L0T66734M31L0_
66781	66827	L0T66781M31L0_
66827	66873	L0T66827M31L0_
66873	66920	L0T66873M31L0_
66920	66966	L0T66920M31L0_
66966	67013	L0T66966M31L0_
67013	67059	L0T67013M31L0_
67059	67106	L0T67059M31L0_
67106	67152	L0T67106M32L0_L1T67106M16L1_
67152	67199	L0T67152M3L0_
67199	67245	L0T67199M0L0_L1T67199M0L1_L2T67199M1L2_
67245	67291	L0T67245M0L0_
67291	67338	L0T67291M0L0_
67338	67384	L0T67338M0L0_
67384	67431	L0T67384M0L0_
67431	67477	L0T67431M0L0_
67477	67524	L0T67477M0L0_
67524	67570	L0T67524M10L0_L1T67524M0L1_
67570	67617	L0T67570M10L0_
67617	67663	L0T67617M10L0_
67663	67709	L0T67663M10L0_
67709	67756	L0T67709M10L0_
67756	67802	L0T67756M10L0_
67802	67849	L0T67802M10L0_
67849	67895	L0T67849M10L0_
67895	67942	L0T67895M0L0_L1T67895M7L1_L2T67895M1L2_
67942	67988	L0T67942M0L0_
